date,description,holiday_type,closed_exchanges,open_exchanges
2025-04-14,Dr. Baba Saheb Ambedkar Jayanti,TRADING_HOLIDAY,"['NSE', 'NFO', 'CDS', 'BSE', 'BFO', 'BCD']","[{'exchange': 'MCX', 'start_time': 1744630200000, 'end_time': 1744653600000}, {'exchange': 'NSCOM', 'start_time': 1744630200000, 'end_time': 1744653600000}]"
2025-04-18,Good Friday,TRADING_HOLIDAY,"['NSE', 'NFO', 'CDS', 'BSE', 'BFO', 'BCD', 'MCX', 'NSCOM']",[]
2025-04-19,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-04-20,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-04-26,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-04-27,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-05-01,Maharashtra Day,TRADING_HOLIDAY,"['NSE', 'NFO', 'CDS', 'BSE', 'BFO', 'BCD']","[{'exchange': 'MCX', 'start_time': 1746099000000, 'end_time': 1746122400000}, {'exchange': 'NSCOM', 'start_time': 1746099000000, 'end_time': 1746122400000}]"
2025-05-03,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-05-04,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-05-10,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-05-11,Weekend,WEEKEND,"['NSE', 'BSE']",[]
